\x93\xfa\x95t,\x83R\x81[\x83h,\x96\xc1\x95\xbf\x96\xbc,\x8bƎ\xed,\x8e\x9e\x89\xbf\x91\x8d\x8az\x81i\x95S\x96\x9c\x89~\x81j,\x91O\x93\xfa\x94\xe4,\x91O\x93\xfa\x94\xe4\x81i\x81\x93\x81j,\x94\x84\x94\x83\x91\xe3\x8b\xe0\x81i\x90\xe7\x89~\x81j,\x8es\x8f\xea,\x8fI\x92l,\x8en\x92l,\x8d\x82\x92l,\x88\xc0\x92l,\x8fo\x97\x88\x8d\x82
2025/12/24,1000,Stock-\x90\x85\x8eY\x81E\x94_\x97ы\xc6-5000-0,\x90\x85\x8eY\x81E\x94_\x97ы\xc6,5354.809456203819,-11.705887848024005,3.5238519326583777,9106765.07038596,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1001,Stock-\x90\x85\x8eY\x81E\x94_\x97ы\xc6-5000-1,\x90\x85\x8eY\x81E\x94_\x97ы\xc6,5283.881559121676,-27.365426322043575,4.753812689703681,3556283.8633893323,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1002,Stock-\x90\x85\x8eY\x81E\x94_\x97ы\xc6-5000-2,\x90\x85\x8eY\x81E\x94_\x97ы\xc6,5357.791524571668,-99.21288456133361,-3.115216546683439,3343776.9091902478,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1000,Stock-\x90\x85\x8eY\x81E\x94_\x97ы\xc6-50000-0,\x90\x85\x8eY\x81E\x94_\x97ы\xc6,47470.06727918999,70.37818940780295,2.9656604270109046,8408104.65304186,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1001,Stock-\x90\x85\x8eY\x81E\x94_\x97ы\xc6-50000-1,\x90\x85\x8eY\x81E\x94_\x97ы\xc6,45740.188042483416,5.26059400864429,-0.8113624934232639,6194613.153544241,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1002,Stock-\x90\x85\x8eY\x81E\x94_\x97ы\xc6-50000-2,\x90\x85\x8eY\x81E\x94_\x97ы\xc6,45515.11232303796,-62.312329618790315,2.475868106953759,8746841.30608118,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1000,Stock-\x90\x85\x8eY\x81E\x94_\x97ы\xc6-500000-0,\x90\x85\x8eY\x81E\x94_\x97ы\xc6,451992.40956864937,-72.21406869033387,2.1772883864848422,4798245.954739829,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1001,Stock-\x90\x85\x8eY\x81E\x94_\x97ы\xc6-500000-1,\x90\x85\x8eY\x81E\x94_\x97ы\xc6,535160.0820648399,-19.757532226654618,4.366591563229495,5333479.1141720535,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1002,Stock-\x90\x85\x8eY\x81E\x94_\x97ы\xc6-500000-2,\x90\x85\x8eY\x81E\x94_\x97ы\xc6,522586.63959805516,68.86846477523397,3.5030141723515342,8867216.9848237,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1000,Stock-\x90\x85\x8eY\x81E\x94_\x97ы\xc6-2000000-0,\x90\x85\x8eY\x81E\x94_\x97ы\xc6,2020298.6536948062,69.64863048408594,0.28603596454757785,9085571.308390062,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1001,Stock-\x90\x85\x8eY\x81E\x94_\x97ы\xc6-2000000-1,\x90\x85\x8eY\x81E\x94_\x97ы\xc6,2117879.2385545517,-35.460474527753576,2.393493343362513,2594168.6097245207,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1002,Stock-\x90\x85\x8eY\x81E\x94_\x97ы\xc6-2000000-2,\x90\x85\x8eY\x81E\x94_\x97ы\xc6,2178920.64211173,87.60204667496802,4.440947471923721,1027541.3999323936,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1000,Stock-\x90H\x97\xbf\x95i-5000-0,\x90H\x97\xbf\x95i,5116.986387334637,92.02430643216195,4.233228499592133,5378803.038447802,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1001,Stock-\x90H\x97\xbf\x95i-5000-1,\x90H\x97\xbf\x95i,4586.261890727678,62.842479339646985,-0.3798522555223922,7371036.852367999,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1002,Stock-\x90H\x97\xbf\x95i-5000-2,\x90H\x97\xbf\x95i,5342.310203173239,42.09347074069541,-1.8591088358544638,2864962.835691454,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1000,Stock-\x90H\x97\xbf\x95i-50000-0,\x90H\x97\xbf\x95i,53959.55425271426,-39.50041047599635,4.43624240545695,4733289.326963023,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1001,Stock-\x90H\x97\xbf\x95i-50000-1,\x90H\x97\xbf\x95i,51879.384783619586,94.38544363073046,0.9171485532793247,898808.2414759436,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1002,Stock-\x90H\x97\xbf\x95i-50000-2,\x90H\x97\xbf\x95i,45095.887051873055,-20.660816446375037,1.0611763630665747,2839561.199360642,Prime,1000.0,1000.0,1010.0,990.0,10000.0
2025/12/24,1000,Stock-\x90H\x97\xbf\x95i-500000-0,\x90H\x97\xbf\x95i,536944.4821037268,23.680982841999707,-1.260483091521385,8497137.213875392,Prime,1000.0,1000.0,1010.0,990.0,10000.0
